Method,p,Adj.R2,Cp,BIC,target
Bwd (Cp),6,0.04545233443195007,-5.499080600015986,-6357.534333939675,ret_XLE_cum10
Bwd (CV),1,0.029694284913401092,6.882347539847615,-6369.858829189543,ret_XLE_cum10
Ridge,29,-0.027857708421798355,96.7815702113212,-6141.235489148399,ret_XLE_cum10
Lasso,2,0.004250360384712049,36.01140960434623,-6336.162341380717,ret_XLE_cum10
PCR,5,0.0058875104781089815,37.113550801091606,-6320.008278621951,ret_XLE_cum10
PLS,1,0.031114216200043288,5.310843714057455,-6371.427262921491,ret_XLE_cum10
Fwd (Cp),8,0.07628751619992025,4.873911671831365,-6358.931651597824,ret_XLF_cum10
Fwd (CV),0,0.0,84.86859950444955,-6321.7162906509975,ret_XLF_cum10
Bwd (Cp),12,0.08118121121939925,3.306098739390791,-6340.756859823943,ret_XLF_cum10
Bwd (CV),0,0.0,84.86859950444955,-6321.7162906509975,ret_XLF_cum10
Ridge,29,0.006421983429387157,104.38623545081327,-6155.730036712453,ret_XLF_cum10
Lasso,0,0.0,84.86859950444955,-6321.7162906509975,ret_XLF_cum10
PCR,6,-0.0003363398160700637,90.78422402824549,-6285.520551690596,ret_XLF_cum10
PLS,1,0.08558978296234443,-12.876846892803997,-6411.570133762135,ret_XLF_cum10
Fwd (Cp),7,0.05678009936052042,-2.455078893971404,-6946.65236655382,ret_XLI_cum10
Fwd (CV),0,0.0,54.25457962355722,-6925.8510470357805,ret_XLI_cum10
